Article Title,Article Type,Newspaper,Publication City,Publication State,Link,Species,Reviewer1,Reviewer1_date,Reviewer2,Reviewer2_date,Code1,Code1_valence,Code2,Code2_valence,Code3,Code3_valence,Code4,Code4_valence,Code5,Code5_valence,Species_2,Notes
Iowa State College of Agriculture: Beaver Dams- Beneficial for Watersheds?,news wire,Targeted News Service,D.C.,,https://infoweb.newsbank.com/apps/news/openurl?ctx_ver=z39.88-2004&rft_id=info%3Asid/infoweb.newsbank.com&svc_dat=WORLDNEWS&req_dat=0E1ADD81C09838F5&rft_val_format=info%3Aofi/fmt%3Akev%3Amtx%3Actx&rft_dat=document_id%3Anews%252F18F89A5BAF424FF8,Beavers,LP,02/07/23,,,Wildlife is increasing,positive,,,,,,,,,,
"A baby mammoth, a 'genuis' raven, and a black lynx meet the north's animal newsmakers of 2022",,Canadian Broadcasting Corporation,Ottowa,Ontario,https://infoweb.newsbank.com/apps/news/openurl?ctx_ver=z39.88-2004&rft_id=info%3Asid/infoweb.newsbank.com&svc_dat=WORLDNEWS&req_dat=0E1ADD81C09838F5&rft_val_format=info%3Aofi/fmt%3Akev%3Amtx%3Actx&rft_dat=document_id%3Anews%252F18EC9FF1417615A0,Beavers,LP,02/07/23,,,Problem is wildlife,negative,,,,,,,,,,
Two California species saved,local article,Camarillo Acorn,Camarillo,California,https://infoweb.newsbank.com/apps/news/openurl?ctx_ver=z39.88-2004&rft_id=info%3Asid/infoweb.newsbank.com&svc_dat=WORLDNEWS&req_dat=0F2584031CD7C37A&rft_val_format=info%3Aofi/fmt%3Akev%3Amtx%3Actx&rft_dat=document_id%3Anews%252F18EBFF8FB4B5BE70,Boars,SB,02/14/23,,,Wildlife conflicts with other wildlife,negaive,,,,,,,,,,
Hawaii delegation introduces bills to promote macadamia tree health,local article,Honolulu Star Advertiser,Honolulu,Hawaii,https://infoweb.newsbank.com/apps/news/openurl?ctx_ver=z39.88-2004&rft_id=info%3Asid/infoweb.newsbank.com&svc_dat=WORLDNEWS&req_dat=0F2584031CD7C37A&rft_val_format=info%3Aofi/fmt%3Akev%3Amtx%3Actx&rft_dat=document_id%3Anews%252F18FA55E463113FC8,Boars,SB,02/13/23,,,Wildlife causes monetary loss,negative,,,,,,,,,,
Wildlife protection: reducing domestic animal insurgents ,local article ,The Palm Beach Post,Palm Beach,Florida,https://infoweb.newsbank.com/apps/news/openurl?ctx_ver=z39.88-2004&rft_id=info%3Asid/infoweb.newsbank.com&svc_dat=WORLDNEWS&req_dat=0F2584031CD7C37A&rft_val_format=info%3Aofi/fmt%3Akev%3Amtx%3Actx&rft_dat=document_id%3Aimage%252Fv2%253A171C152FE79B38A0%2540AWNB-18F6F64276996848%25402459978-18F6F645CCA541FE%254029-18F6F645CCA541FE%2540/hlterms%3A%25E2%2580%259Cferal%2520pigs%25E2%2580%259D,Boars,SB,02/13/23,,,Wildlife conflicts with other wildlife ,negative ,Problem is managers,negative,,,,,,,,
Wildlife officials look to eradicate feral pigs,news wire service,Lincoln County Record,Lincoln County,Nevada ,https://infoweb.newsbank.com/apps/news/openurl?ctx_ver=z39.88-2004&rft_id=info%3Asid/infoweb.newsbank.com&svc_dat=WORLDNEWS&req_dat=0F2584031CD7C37A&rft_val_format=info%3Aofi/fmt%3Akev%3Amtx%3Actx&rft_dat=document_id%3Anews%252F18F5F8681E896DB8,Boars,SB,02/13/23,,,Wildlife conflicts with recreation ,negative,Problem is wildlife ,negative,,,,,,,,
Animal Doctor- wildlife protect: reducing domestic animal insurgents ,NA,,,,https://infoweb.newsbank.com/apps/news/openurl?ctx_ver=z39.88-2004&rft_id=info%3Asid/infoweb.newsbank.com&svc_dat=WORLDNEWS&req_dat=0F2584031CD7C37A&rft_val_format=info%3Aofi/fmt%3Akev%3Amtx%3Actx&rft_dat=document_id%3Anews%252F18F59445D3E97D08,Boars,SB,02/14/23,,,,,,,,,,,,,,
BLNR loosens pig hunting restrictions in 3 Puna forests ,local article,Hawaii Tribune-Herald,Hilo,Hawaii,https://infoweb.newsbank.com/apps/news/openurl?ctx_ver=z39.88-2004&rft_id=info%3Asid/infoweb.newsbank.com&svc_dat=WORLDNEWS&req_dat=0F2584031CD7C37A&rft_val_format=info%3Aofi/fmt%3Akev%3Amtx%3Actx&rft_dat=document_id%3Anews%252F18F0EF3FE7E6BCA8,Boars,SB,02/14/23,,,Wildlife causes monetary loss,negative,Problem is wildlife,,,,,,,,,
California welcomed a new batch of laws on Jan. 1,local article,The Sonoma Index-Tribune,Sonoma,California,https://infoweb.newsbank.com/apps/news/openurl?ctx_ver=z39.88-2004&rft_id=info%3Asid/infoweb.newsbank.com&svc_dat=WORLDNEWS&req_dat=0F2584031CD7C37A&rft_val_format=info%3Aofi/fmt%3Akev%3Amtx%3Actx&rft_dat=document_id%3Anews%252F18EDA871308EADE8,Boars,SB,02/14/23,,,Problem is wildlife,negative,,,,,,,,,,
Beaver making mark at C.M. wilson,local article,Chatham Daily News,Chatham,Ontario,https://infoweb.newsbank.com/apps/news/openurl?ctx_ver=z39.88-2004&rft_id=info%3Asid/infoweb.newsbank.com&svc_dat=WORLDNEWS&req_dat=0E1ADD81C09838F5&rft_val_format=info%3Aofi/fmt%3Akev%3Amtx%3Actx&rft_dat=document_id%3Anews%252F1782C87EDADB9C40,beavers,LP,02/14/23,,,Wildlife as resources,positive,Wildlife is increasing,positive,,,,,,,,
Beaver builders at the Mendenhall minis series Jan. 11,local article,Juneau Empire,Juneau,Alaska,https://infoweb.newsbank.com/apps/news/openurl?ctx_ver=z39.88-2004&rft_id=info%3Asid/infoweb.newsbank.com&svc_dat=WORLDNEWS&req_dat=0E1ADD81C09838F5&rft_val_format=info%3Aofi/fmt%3Akev%3Amtx%3Actx&rft_dat=document_id%3Anews%252F178321375E9062F8,beavers,LP,02/14/23,,,Wildlife as resources,positive,,,,,,,,,,
Town accepts gifts of land,local article,Monadnock Ledger Transcript,Peterborough,New Hampshire,https://infoweb.newsbank.com/apps/news/openurl?ctx_ver=z39.88-2004&rft_id=info%3Asid/infoweb.newsbank.com&svc_dat=WORLDNEWS&req_dat=0E1ADD81C09838F5&rft_val_format=info%3Aofi/fmt%3Akev%3Amtx%3Actx&rft_dat=document_id%3Anews%252F1782C76DC6DF1050,beavers,LP,02/14/23,,,Wildlife as resources,positive,Wildlife as conservation goal,positive,,,,,,,,
Scott Shalaway: A tale of tails,NA,,,,,,,,,,,,,,,,,,,,,
Opinion: Colorado needs wolves,local article,Steamboat Pilot & Today,Routt County,Colorado,https://infoweb.newsbank.com/apps/news/openurl?ctx_ver=z39.88-2004&rft_id=info%3Asid/infoweb.newsbank.com&svc_dat=WORLDNEWS&req_dat=0E1ADD81C09838F5&rft_val_format=info%3Aofi/fmt%3Akev%3Amtx%3Actx&rft_dat=document_id%3Anews%252F178322A583AC1BF8,beavers,LP,02/14/23,,,Wildlife as resources,positive,,,,,,,,,,
Opinion: Benefits of wolf reintroduction overshadow imaginary costs,local article,Steamboat Pilot & Today,Routt County,Colorado,https://infoweb.newsbank.com/apps/news/openurl?ctx_ver=z39.88-2004&rft_id=info%3Asid/infoweb.newsbank.com&svc_dat=WORLDNEWS&req_dat=0E1ADD81C09838F5&rft_val_format=info%3Aofi/fmt%3Akev%3Amtx%3Actx&rft_dat=document_id%3Anews%252F1782CE174F677F28,beavers,LP,02/14/23,,,Wildlife is increasing,positive,,,,,,,,,,
New meadow soon to sprout on Beltline's Eastside Trail,local article ,Atlanta Journal-Constitution,Atlanta,Georgia,https://infoweb.newsbank.com/apps/news/openurl?ctx_ver=z39.88-2004&rft_id=info%3Asid/infoweb.newsbank.com&svc_dat=WORLDNEWS&req_dat=0E1ADD81C09838F5&rft_val_format=info%3Aofi/fmt%3Akev%3Amtx%3Actx&rft_dat=document_id%3Anews%252F1784E4848E26DD20,beavers,LP,02/14/23,,,Wildlife as resources,positive,,,,,,,,,,
Lance Olsen: Premature to remove grizzlies from Endangered Species Act,local article,Independent Record,Helena,Montana,https://infoweb.newsbank.com/apps/news/document-view?p=WORLDNEWS&t=&sort=YMD_date%3AD&fld-base-0=alltext&maxresults=20&val-base-0=%22grizzly%20bears%22&docref=news/18FCF213D4D98258,Grizzly Bear,BW,02/20/2023,,,Wildlife is increasing,positive,Problem is recreation,negative,Problem is people,negative,,,,,,
How Much Is Enough For Montana's Health Care Systems?,local article,Montana Free Press,,Montana,https://infoweb.newsbank.com/apps/news/document-view?p=WORLDNEWS&t=&sort=YMD_date%3AD&fld-base-0=alltext&maxresults=20&val-base-0=%22grizzly%20bears%22&docref=news/18FCF9102E974AB8,Grizzly Bear,BW,02/20/2023,,,Wildlife injury,negative,Problem is grazing/agriculture,negative,,,,,,,,
Helena is undermining grizzly bear conservation,local article,Daily Inter Lake,Kalispell,Montana,https://infoweb.newsbank.com/apps/news/document-view?p=WORLDNEWS&t=&sort=YMD_date%3AD&fld-base-0=alltext&maxresults=20&val-base-0=%22grizzly%20bears%22&docref=news/18FCC880204790A8,Grizzly Bear,BW,02/20/2023,,,Problem is people,negative,Problem is managers,negative,,,,,,,,
Clint Nagel: Protecting the grizzly,local article,Montana Standard,Butte,Montana,https://infoweb.newsbank.com/apps/news/document-view?p=WORLDNEWS&t=&sort=YMD_date%3AD&fld-base-0=alltext&maxresults=20&val-base-0=%22grizzly%20bears%22&docref=news/18FCA00A94843668,Grizzly Bear,BW,02/20/2023,,,Problem is people,negative,Problem is recreation,negative,,,,,,,,
US forest issues kill order for feral cows in New Mexico,online,Associated Press: US News Online,,,https://infoweb.newsbank.com/apps/news/document-view?p=WORLDNEWS&t=&sort=YMD_date%3AD&page=3&fld-base-0=alltext&maxresults=20&val-base-0=%22grizzly%20bears%22&docref=news/18FBB5B314A249A0,Grizzly Bear,BW,02/20/2023,,,Problem is managers,negative,,,,,,,,,,
Wyoming's US senators try again to lift grizzly protections,local article,Billings Gazette,,Montana,https://infoweb.newsbank.com/apps/news/document-view?p=WORLDNEWS&t=&sort=YMD_date%3AD&page=3&fld-base-0=alltext&maxresults=20&val-base-0=%22grizzly%20bears%22&docref=news/18FC319957ADE3C0,Grizzly Bear,BW,02/20/2023,,,Problem is people,megative,Problem is managers,negative,,,,,,,,
Bears need to be managed by states - WYOMING EDITORIAL,local article,Laramie Boomerang,,Wyoming,https://infoweb.newsbank.com/apps/news/document-view?p=WORLDNEWS&t=&sort=YMD_date%3AD&page=3&fld-base-0=alltext&maxresults=20&val-base-0=%22grizzly%20bears%22&docref=news/18FCEFF8D7CDDF40,Grizzly Bear,BW,02/20/2023,,,Problem is managers,negative,Human injury,negative,,,,,,,,
Bader: Keep politics out of grizzly review,local article,Star-Tribune,Casper,Wyoming,https://infoweb.newsbank.com/apps/news/document-view?p=WORLDNEWS&t=&sort=YMD_date%3AD&page=3&fld-base-0=alltext&maxresults=20&val-base-0=%22grizzly%20bears%22&docref=news/18FC31DEE5856090,Grizzly Bear,BW,02/20/2023,,,Problem is managers,negative,Problem is grazing/agriculture,negative,,,,,,,,
Lummis Reintroduces Bill to Delist Greater Yellowstone Grizzly,newsire,Targeted News Service,,,https://infoweb.newsbank.com/apps/news/document-view?p=WORLDNEWS&t=&sort=YMD_date%3AD&page=3&fld-base-0=alltext&maxresults=20&val-base-0=%22grizzly%20bears%22&docref=news/18FBE49D7165D020,Grizzly Bear,BW,02/20/2023,,,Problem is managers,negative,Problem is people,negative,,,,,,,,
Bill on grizzly-livestock conflicts raises concerns,local article,Bozeman Daily Chronicle,Bozeman,Montana,https://infoweb.newsbank.com/apps/news/document-view?p=WORLDNEWS&t=&sort=YMD_date%3AD&page=4&fld-base-0=alltext&maxresults=20&val-base-0=%22grizzly%20bears%22&docref=news/18FBB090DC73A160,Grizzly Bear,BW,02/20/2023,,,Problem is managers,negative,Problem is people,negative,Problem is grazing/agriculture,negative,Wildlife injury,negative,,,,
Review: More than a bearable read,NA,,,,https://infoweb.newsbank.com/apps/news/document-view?p=WORLDNEWS&t=&sort=YMD_date%3AD&fld-base-0=alltext&maxresults=20&val-base-0=%22grizzly%20bears%22&docref=news/18FE4C1F5B77E028,Grizzly Bear,,,,,,,,,,,,,,,,
Local History - The log cabin style in Santa Cruz,local article,Santa Cruz Sentinel,Santa Cruz,California,https://infoweb.newsbank.com/apps/news/document-view?p=WORLDNEWS&t=&sort=YMD_date%3AD&fld-base-0=alltext&maxresults=20&val-base-0=%22grizzly%20bears%22&docref=news/18FF21E4917A0F60,Grizzly Bear,BW,02/27/2023,,,Problem is grazing/agriculture,negative,Wildlife injury,negative,Human injury,negative,Grazing conflicts with wildlife,,,,,
"Bills expanding trapping, hunting to be considered",local article,Billings Gazette,Billings,Montana,https://infoweb.newsbank.com/apps/news/document-view?p=WORLDNEWS&t=continent%3ANorth%2BAmerica%21North%2BAmerica&sort=YMD_date%3AD&fld-base-0=alltext&maxresults=20&val-base-0=%22grizzly%20bears%22&docref=image/v2%3A17DFD0CE005F6DB0%40AWNB-18FE73A52FE137E5%402460003-18FF1C6D9BA25F71%405-18FF1C6D9BA25F71%40,Grizzly Bear,BW,02/27/2023,,,Problem is people,negative,Wildlife conflicts with other wildlife,negative,Problem is politics,negative,,,,,,
David Mattson: Now is not the time to remove ESA protections for grizzlies,local article,Billings Gazette,Billings,Montana,https://infoweb.newsbank.com/apps/news/document-view?p=WORLDNEWS&t=continent%3ANorth%2BAmerica%21North%2BAmerica&sort=YMD_date%3AD&fld-base-0=alltext&maxresults=20&val-base-0=%22grizzly%20bears%22&docref=news/18FEEAD4152540F8,Grizzly Bear,BW,02/27/2023,,,Wildlife is increasing,negative,Wildlife injury,positive,Wildlife as resources,positive,Problem is politics,negative,,,,
Save ranching and wildlife — invest in relationships,local article,Daily Inter Lake,Kalispell,Montana,https://infoweb.newsbank.com/apps/news/document-view?p=WORLDNEWS&t=continent%3ANorth%2BAmerica%21North%2BAmerica&sort=YMD_date%3AD&fld-base-0=alltext&maxresults=20&val-base-0=%22grizzly%20bears%22&docref=news/18FEF67371B3FBD8,Grizzly Bear,BW,02/27/2023,,,Grazing conflicts with wildlife,negative,Wildlife cause monetary loss,negative,Wildlife is increasing,negative,,,,,,
Mike Bader: Keep politics out of grizzly review,local article,Missoulian,Missoula,Montana,https://infoweb.newsbank.com/apps/news/document-view?p=WORLDNEWS&t=continent%3ANorth%2BAmerica%21North%2BAmerica&sort=YMD_date%3AD&fld-base-0=alltext&maxresults=20&val-base-0=%22grizzly%20bears%22&docref=news/18FEEC6EDEA100E0,Grizzly Bear,BW,02/27/2023,,,Problem is managers,negative,Wildlife injury,negative,Problem is politics,negative,,,,,,
"Anja Heister: Extreme lawmakers and sportsmen attack MT Constitution, democracy, wildlife and the public",local article,Missoulian,Missoula,Montana,https://infoweb.newsbank.com/apps/news/document-view?p=WORLDNEWS&t=continent%3ANorth%2BAmerica%21North%2BAmerica&sort=YMD_date%3AD&fld-base-0=alltext&maxresults=20&val-base-0=%22grizzly%20bears%22&docref=news/18FEEC6EDD89BCB0,Grizzly Bear,BW,02/27/2023,,,Problem is people,negative,Wildlife injiury,negative,Problem is politics,negative,,,,,,
Tana Nulph: Montana is big enough for ranching AND grizzlies,local article,Montana Stnadard,Butte,Montana,https://infoweb.newsbank.com/apps/news/document-view?p=WORLDNEWS&t=continent%3ANorth%2BAmerica%21North%2BAmerica&sort=YMD_date%3AD&fld-base-0=alltext&maxresults=20&val-base-0=%22grizzly%20bears%22&docref=news/18FEEAB8AA9D39B8,Grizzly Bear,BW,02/27/2023,,,Problem is grazing/agriculture,negative,,,,,,,,,,
Study finds warming climate may improve North Cascades grizzly bear habitat,Op-Ed,Seattle Times,Seattle,Washington,https://infoweb.newsbank.com/apps/news/document-view?p=WORLDNEWS&t=continent%3ANorth%2BAmerica%21North%2BAmerica&sort=YMD_date%3AD&fld-base-0=alltext&maxresults=20&val-base-0=%22grizzly%20bears%22&docref=news/18FEFFFB6467FA10,Grizzly Bear,BW,02/27/2023,,,Wildlife as resources,positive,,,,,,,,,,
Canadian bacon- this is just what we needed,local article,Arkansas Democrat Gazette,Little Rock,Arkansas,https://infoweb.newsbank.com/apps/news/openurl?ctx_ver=z39.88-2004&rft_id=info%3Asid/infoweb.newsbank.com&svc_dat=WORLDNEWS&req_dat=0F2584031CD7C37A&rft_val_format=info%3Aofi/fmt%3Akev%3Amtx%3Actx&rft_dat=document_id%3Anews%252F18FF2F0832D2F898,Boars,SB,02/27/23,,,Problem is wildlife,negative,Wildlife is increasing,negative,,,,,,,,
Wildlife services search for feral pigs,local article,Lincoln County Record,Caliente ,Nevada,https://infoweb.newsbank.com/apps/news/openurl?ctx_ver=z39.88-2004&rft_id=info%3Asid/infoweb.newsbank.com&svc_dat=WORLDNEWS&req_dat=0F2584031CD7C37A&rft_val_format=info%3Aofi/fmt%3Akev%3Amtx%3Actx&rft_dat=document_id%3Anews%252F18FED434A8AA1860,Boars,SB,02/27/23,,,Problem is wildlife,negative,,,,,,,,,,
Clash in the legislature over managing wildlife predators,local article,The Bulletin,Bend,Oregon,https://infoweb.newsbank.com/apps/news/openurl?ctx_ver=z39.88-2004&rft_id=info%3Asid/infoweb.newsbank.com&svc_dat=WORLDNEWS&req_dat=0F2584031CD7C37A&rft_val_format=info%3Aofi/fmt%3Akev%3Amtx%3Actx&rft_dat=document_id%3Anews%252F18FB36FE95982AF0,Boars,SB,02/27/23,,,Problem is wildlife,negative,,,,,,,,,,
Trouble at sea-when it comes to salmon has the Pacific reached its limit?,NA,,,,https://infoweb.newsbank.com/apps/news/openurl?ctx_ver=z39.88-2004&rft_id=info%3Asid/infoweb.newsbank.com&svc_dat=WORLDNEWS&req_dat=0F2584031CD7C37A&rft_val_format=info%3Aofi/fmt%3Akev%3Amtx%3Actx&rft_dat=document_id%3Anews%252F18EFEFC4F73A7168,Boars,SB,02/27/23,,,,,,,,,,,,,,
"8 years, some progress, $2.5B in damage a year",newswire,Austin American Statesman,Austin,Texas,https://infoweb.newsbank.com/apps/news/openurl?ctx_ver=z39.88-2004&rft_id=info%3Asid/infoweb.newsbank.com&svc_dat=WORLDNEWS&req_dat=0F2584031CD7C37A&rft_val_format=info%3Aofi/fmt%3Akev%3Amtx%3Actx&rft_dat=document_id%3Aimage%252Fv2%253A16F275EA2D996A88%2540AWNB-18EAD9C6C7779EBB%25402459943-18EB3694FA054219%254011-18EB3694FA054219%2540/hlterms%3A%25E2%2580%259Cferal%2520pigs%25E2%2580%259D,Boars,SB,02/27/23,,,Wildlife causes monetary loss,negative,Problem is wildlife,negative,,,,,,,,
Cold weather brings falling iguana alerts,NA,,,,https://infoweb.newsbank.com/apps/news/openurl?ctx_ver=z39.88-2004&rft_id=info%3Asid/infoweb.newsbank.com&svc_dat=WORLDNEWS&req_dat=0F2584031CD7C37A&rft_val_format=info%3Aofi/fmt%3Akev%3Amtx%3Actx&rft_dat=document_id%3Anews%252F18E95A9735E9FC98,Boars,SB,02/27/23,,,,,,,,,,,,,,
War on feral hogs far from over,NA,,,,https://infoweb.newsbank.com/apps/news/openurl?ctx_ver=z39.88-2004&rft_id=info%3Asid/infoweb.newsbank.com&svc_dat=WORLDNEWS&req_dat=0F2584031CD7C37A&rft_val_format=info%3Aofi/fmt%3Akev%3Amtx%3Actx&rft_dat=document_id%3Anews%252F18E7C35C2FB564E8,Boars,SB,02/27/23,,,,,,,,,,,,,,
Pig brig trap systems demonstrates its patented trap to Italian scientists,newswire,PR Newswire,,USA,https://infoweb.newsbank.com/apps/news/openurl?ctx_ver=z39.88-2004&rft_id=info%3Asid/infoweb.newsbank.com&svc_dat=WORLDNEWS&req_dat=0F2584031CD7C37A&rft_val_format=info%3Aofi/fmt%3Akev%3Amtx%3Actx&rft_dat=document_id%3Anews%252F18E68F23AEAF0CC0,Boars,SB,02/27/23,,,Problem is wildlife ,negative,Problem is managers,negative,,,,,,,,
Sudbury secondary senior creates designs for indigenous awards,local article,The Sudbury Star,Ontario,Canada,https://infoweb.newsbank.com/apps/news/openurl?ctx_ver=z39.88-2004&rft_id=info%3Asid/infoweb.newsbank.com&svc_dat=WORLDNEWS&req_dat=0E1ADD81C09838F5&rft_val_format=info%3Aofi/fmt%3Akev%3Amtx%3Actx&rft_dat=document_id%3Anews%252F18FF6C1E2475D8D8,Beavers,LP,02/28/23,,,Wildlife as resources,positive,Wildlife as inspiration,positive,,,,,,,,
Burlington county seeking state funds for long bridge park improvements,loacl article,The Central Record,Medford,New Jersey ,https://infoweb.newsbank.com/apps/news/openurl?ctx_ver=z39.88-2004&rft_id=info%3Asid/infoweb.newsbank.com&svc_dat=WORLDNEWS&req_dat=0E1ADD81C09838F5&rft_val_format=info%3Aofi/fmt%3Akev%3Amtx%3Actx&rft_dat=document_id%3Anews%252F18FF4877D5356D98,Beavers,LP,02/28/23,,,Wildlife as resources,positive,,,,,,,,,,
Equity in class,NA,,,,https://infoweb.newsbank.com/apps/news/openurl?ctx_ver=z39.88-2004&rft_id=info%3Asid/infoweb.newsbank.com&svc_dat=WORLDNEWS&req_dat=0E1ADD81C09838F5&rft_val_format=info%3Aofi/fmt%3Akev%3Amtx%3Actx&rft_dat=document_id%3Anews%252F18FF17B61AF89250,Beavers,LP,02/28/23,,,,,,,,,,,,,,
KSC students track animals around campus ,local article,The Equinox,Keene,New Hampshire,https://infoweb.newsbank.com/apps/news/openurl?ctx_ver=z39.88-2004&rft_id=info%3Asid/infoweb.newsbank.com&svc_dat=WORLDNEWS&req_dat=0E1ADD81C09838F5&rft_val_format=info%3Aofi/fmt%3Akev%3Amtx%3Actx&rft_dat=document_id%3Anews%252F18FF619B99D138F0,Beavers,LP,02/28/23,,,Wildlife as resources,positive,,,,,,,,,,
Beauty Bundle and Backyard Pickins among offerings in SWCD tree sale,local article,Loudonville & Mohican Area Times-Shopper,Loudonville,Ohio,https://infoweb.newsbank.com/apps/news/openurl?ctx_ver=z39.88-2004&rft_id=info%3Asid/infoweb.newsbank.com&svc_dat=WORLDNEWS&req_dat=0E1ADD81C09838F5&rft_val_format=info%3Aofi/fmt%3Akev%3Amtx%3Actx&rft_dat=document_id%3Anews%252F18FF2282DB304808,Beavers,LP,02/28/23,,,Wildlife as resources,positive,,,,,,,,,,
Busted: scofflaws keep state conservation officers busy,local article,The Manistee News Advocate,Manistee,Michigan,https://infoweb.newsbank.com/apps/news/openurl?ctx_ver=z39.88-2004&rft_id=info%3Asid/infoweb.newsbank.com&svc_dat=WORLDNEWS&req_dat=0E1ADD81C09838F5&rft_val_format=info%3Aofi/fmt%3Akev%3Amtx%3Actx&rft_dat=document_id%3Anews%252F18FF541CC78B9C30,Beavers,LP,02/28/23,,,Problem is people,negative,,,,,,,,,,
Preservationists land a big one - lake forest preserves open space,local article,Chicago Sun-Times ,Chicago,Illinois,https://infoweb.newsbank.com/apps/news/openurl?ctx_ver=z39.88-2004&rft_id=info%3Asid/infoweb.newsbank.com&svc_dat=WORLDNEWS&req_dat=0E1ADD81C09838F5&rft_val_format=info%3Aofi/fmt%3Akev%3Amtx%3Actx&rft_dat=document_id%3Anews%252F0EB36E9333B5D536,Beavers,LP,02/28/23,,,Wildlife as resources,positive,,,,,,,,,,
Designers say hello to comfort and individuality - into the 90s,local article,The Morning Call,Allentown,Pennsylvania,https://infoweb.newsbank.com/apps/news/openurl?ctx_ver=z39.88-2004&rft_id=info%3Asid/infoweb.newsbank.com&svc_dat=WORLDNEWS&req_dat=0E1ADD81C09838F5&rft_val_format=info%3Aofi/fmt%3Akev%3Amtx%3Actx&rft_dat=document_id%3Anews%252F12AEEEE08435ED38,Beavers,LP,02/28/23,,,Wildlife as resources,positive,,,,,,,,,,
State celebrates 100 years as the center of the wild west,local article,The Mercury News,San Jose,California,https://infoweb.newsbank.com/apps/news/openurl?ctx_ver=z39.88-2004&rft_id=info%3Asid/infoweb.newsbank.com&svc_dat=WORLDNEWS&req_dat=0E1ADD81C09838F5&rft_val_format=info%3Aofi/fmt%3Akev%3Amtx%3Actx&rft_dat=document_id%3Anews%252F0EB7316484542AE1,Beavers,LP,02/28/23,,,Wildlife as resources,positive,,,,,,,,,,
"St. Louis/Region - river black, mayor blue; goodbye, gussie, chase and hello, miss america",local article,St. Louis Post-Dispatch,St. Louis,Missouri,https://infoweb.newsbank.com/apps/news/openurl?ctx_ver=z39.88-2004&rft_id=info%3Asid/infoweb.newsbank.com&svc_dat=WORLDNEWS&req_dat=0E1ADD81C09838F5&rft_val_format=info%3Aofi/fmt%3Akev%3Amtx%3Actx&rft_dat=document_id%3Anews%252F0EB04C74B199134D,Beavers,LP,02/28/23,,,Wildlife is increasing,positive,,,,,,,,,,
Financial drubbing tops - Hampshire news in '89,local article,The Republican,Springfield,Massachusetts,https://infoweb.newsbank.com/apps/news/openurl?ctx_ver=z39.88-2004&rft_id=info%3Asid/infoweb.newsbank.com&svc_dat=WORLDNEWS&req_dat=0E1ADD81C09838F5&rft_val_format=info%3Aofi/fmt%3Akev%3Amtx%3Actx&rft_dat=document_id%3Anews%252F0F2F126D2AACEA34,Beavers,LP,02/28/23,,,Problem is development,negative,,,,,,,,,,
Louisiana wildlife and fisheries commission to meet march 2,online,US Fed News,,Louisiana,https://infoweb.newsbank.com/apps/news/openurl?ctx_ver=z39.88-2004&rft_id=info%3Asid/infoweb.newsbank.com&svc_dat=WORLDNEWS&req_dat=0F2584031CD7C37A&rft_val_format=info%3Aofi/fmt%3Akev%3Amtx%3Actx&rft_dat=document_id%3Anews%252F18FE71193466F678,Boars,SB,02/28/23,,,Problem is wildlife,negative,Problem is managers,negative,,,,,,,,
Trouble animals- good to know in Florida,local article,Charlotte Country Florida Weekly,Charlotte County,Florida,https://infoweb.newsbank.com/apps/news/openurl?ctx_ver=z39.88-2004&rft_id=info%3Asid/infoweb.newsbank.com&svc_dat=WORLDNEWS&req_dat=0F2584031CD7C37A&rft_val_format=info%3Aofi/fmt%3Akev%3Amtx%3Actx&rft_dat=document_id%3Anews%252F18FDD0AEA1B09688,Boars,SB,02/28/23,,,Wildlife conflicts with other wildlife,negative ,Problem is wildlife,negative,,,,,,,,
Join MDC March 22 for wild webcast on invasive plants and animals,local article,Daily Journal,Park Hills,Missouri,https://infoweb.newsbank.com/apps/news/openurl?ctx_ver=z39.88-2004&rft_id=info%3Asid/infoweb.newsbank.com&svc_dat=WORLDNEWS&req_dat=0F2584031CD7C37A&rft_val_format=info%3Aofi/fmt%3Akev%3Amtx%3Actx&rft_dat=document_id%3Anews%252F18FE2A4FDD994540,Boars,SB,02/28/23,,,Wildlife is increasing,negative,,,,,,,,,,
Wild boar,local article,Jackson County Herald-Tribune,Edna,Texas,https://infoweb.newsbank.com/apps/news/openurl?ctx_ver=z39.88-2004&rft_id=info%3Asid/infoweb.newsbank.com&svc_dat=WORLDNEWS&req_dat=0F2584031CD7C37A&rft_val_format=info%3Aofi/fmt%3Akev%3Amtx%3Actx&rft_dat=document_id%3Anews%252F18FE2430B58B2F10,Boars,SB,02/28/23,,,Wildlife is increasing,negative,Wildlife causes monetary loss,negative,Wildlife conflicts with other wildlife,negative,,,,,,
"Learn about feral swine control at free 'lunch, learn' workshop",local article,The Dothan Eagle,,Alabama,https://infoweb.newsbank.com/apps/news/openurl?ctx_ver=z39.88-2004&rft_id=info%3Asid/infoweb.newsbank.com&svc_dat=WORLDNEWS&req_dat=0F2584031CD7C37A&rft_val_format=info%3Aofi/fmt%3Akev%3Amtx%3Actx&rft_dat=document_id%3Anews%252F18FC879191F69260,Boars,SB,02/28/23,,,Wildlife conflicts with other wildlife,negative,,,,,,,,,,
