Article Title,Article Type,Newspaper,Publication City,Publication State,Link,Species,Reviewer1,Reviewer1_date,Reviewer2,Reviewer2_date,Code1,Code1_valence,Code2,Code2_valence,Code3,Code3_valence,Code4,Code4_valence,Code5,Code5_valence,Notes
"A baby mammoth, a 'genuis' raven, and a black lynx meet the north's animal newsmakers of 2022",,Canadian Broadcasting Corporation,Ottowa,Ontario,https://infoweb.newsbank.com/apps/news/openurl?ctx_ver=z39.88-2004&rft_id=info%3Asid/infoweb.newsbank.com&svc_dat=WORLDNEWS&req_dat=0E1ADD81C09838F5&rft_val_format=info%3Aofi/fmt%3Akev%3Amtx%3Actx&rft_dat=document_id%3Anews%252F18EC9FF1417615A0,Beavers,LP,02/07/23,,,Problem is wildlife,negative,,,,,,,,,
Two California species saved,local article,Camarillo Acorn,Camarillo,California,https://infoweb.newsbank.com/apps/news/openurl?ctx_ver=z39.88-2004&rft_id=info%3Asid/infoweb.newsbank.com&svc_dat=WORLDNEWS&req_dat=0F2584031CD7C37A&rft_val_format=info%3Aofi/fmt%3Akev%3Amtx%3Actx&rft_dat=document_id%3Anews%252F18EBFF8FB4B5BE70,Boars,SB,02/14/23,,,Wildlife conflicts with other wildlife,negaive,,,,,,,,,
Hawaii delegation introduces bills to promote macadamia tree health,local article,Honolulu Star Advertiser,Honolulu,Hawaii,https://infoweb.newsbank.com/apps/news/openurl?ctx_ver=z39.88-2004&rft_id=info%3Asid/infoweb.newsbank.com&svc_dat=WORLDNEWS&req_dat=0F2584031CD7C37A&rft_val_format=info%3Aofi/fmt%3Akev%3Amtx%3Actx&rft_dat=document_id%3Anews%252F18FA55E463113FC8,Boars,SB,02/13/23,,,Wildlife causes monetary loss,negative,,,,,,,,,
Wildlife protection: reducing domestic animal insurgents ,local article ,The Palm Beach Post,Palm Beach,Florida,https://infoweb.newsbank.com/apps/news/openurl?ctx_ver=z39.88-2004&rft_id=info%3Asid/infoweb.newsbank.com&svc_dat=WORLDNEWS&req_dat=0F2584031CD7C37A&rft_val_format=info%3Aofi/fmt%3Akev%3Amtx%3Actx&rft_dat=document_id%3Aimage%252Fv2%253A171C152FE79B38A0%2540AWNB-18F6F64276996848%25402459978-18F6F645CCA541FE%254029-18F6F645CCA541FE%2540/hlterms%3A%25E2%2580%259Cferal%2520pigs%25E2%2580%259D,Boars,SB,02/13/23,,,Wildlife conflicts with other wildlife ,negative ,Problem is managers,negative,,,,,,,
Wildlife officials look to eradicate feral pigs,news wire service,Lincoln County Record,Lincoln County,Nevada ,https://infoweb.newsbank.com/apps/news/openurl?ctx_ver=z39.88-2004&rft_id=info%3Asid/infoweb.newsbank.com&svc_dat=WORLDNEWS&req_dat=0F2584031CD7C37A&rft_val_format=info%3Aofi/fmt%3Akev%3Amtx%3Actx&rft_dat=document_id%3Anews%252F18F5F8681E896DB8,Boars,SB,02/13/23,,,Wildlife conflicts with recreation ,negative,Problem is wildlife ,negative,,,,,,,
Animal Doctor- wildlife protect: reducing domestic animal insurgents ,NA,,,,https://infoweb.newsbank.com/apps/news/openurl?ctx_ver=z39.88-2004&rft_id=info%3Asid/infoweb.newsbank.com&svc_dat=WORLDNEWS&req_dat=0F2584031CD7C37A&rft_val_format=info%3Aofi/fmt%3Akev%3Amtx%3Actx&rft_dat=document_id%3Anews%252F18F59445D3E97D08,Boars,SB,02/14/23,,,,,,,,,,,,,
BLNR loosens pig hunting restrictions in 3 Puna forests,local article,Hawaii Tribune-Herald,Hilo,Hawaii,https://infoweb.newsbank.com/apps/news/openurl?ctx_ver=z39.88-2004&rft_id=info%3Asid/infoweb.newsbank.com&svc_dat=WORLDNEWS&req_dat=0F2584031CD7C37A&rft_val_format=info%3Aofi/fmt%3Akev%3Amtx%3Actx&rft_dat=document_id%3Anews%252F18F0EF3FE7E6BCA8,Boars,SB,02/14/23,,,Wildlife causes monetary loss,negative,Problem is wildlife,,,,,,,,
California welcomed a new batch of laws on Jan. 1,local article,The Sonoma Index-Tribune,Sonoma,California,https://infoweb.newsbank.com/apps/news/openurl?ctx_ver=z39.88-2004&rft_id=info%3Asid/infoweb.newsbank.com&svc_dat=WORLDNEWS&req_dat=0F2584031CD7C37A&rft_val_format=info%3Aofi/fmt%3Akev%3Amtx%3Actx&rft_dat=document_id%3Anews%252F18EDA871308EADE8,Boars,SB,02/14/23,,,Problem is wildlife,positive,,,How will the excess of words effect data?,,,,,,
Beaver making mark at C.M. wilson,local article,Chatham Daily News,Chatham,Ontario,https://infoweb.newsbank.com/apps/news/openurl?ctx_ver=z39.88-2004&rft_id=info%3Asid/infoweb.newsbank.com&svc_dat=WORLDNEWS&req_dat=0E1ADD81C09838F5&rft_val_format=info%3Aofi/fmt%3Akev%3Amtx%3Actx&rft_dat=document_id%3Anews%252F1782C87EDADB9C40,beavers,LP,02/14/23,,,Wildlife as resources,positive,Wildlife is increasing,positive,,,,,,,
Beaver builders at the Mendenhall minis series Jan. 11,local article,Juneau Empire,Juneau,Alaska,https://infoweb.newsbank.com/apps/news/openurl?ctx_ver=z39.88-2004&rft_id=info%3Asid/infoweb.newsbank.com&svc_dat=WORLDNEWS&req_dat=0E1ADD81C09838F5&rft_val_format=info%3Aofi/fmt%3Akev%3Amtx%3Actx&rft_dat=document_id%3Anews%252F178321375E9062F8,beavers,LP,02/14/23,,,Wildlife as resources,positive,,,,,,,,,
Town accepts gifts of land,local article,Monadnock Ledger Transcript,Peterborough,New Hampshire,https://infoweb.newsbank.com/apps/news/openurl?ctx_ver=z39.88-2004&rft_id=info%3Asid/infoweb.newsbank.com&svc_dat=WORLDNEWS&req_dat=0E1ADD81C09838F5&rft_val_format=info%3Aofi/fmt%3Akev%3Amtx%3Actx&rft_dat=document_id%3Anews%252F1782C76DC6DF1050,beavers,LP,02/14/23,,,Wildlife as resources,positive,Wildlife as conservation goal,positive,,,,,,,
Scott Shalaway: A tale of tails,NA,,,,,,,,,,,,,,,,,,,,
Opinion: Colorado needs wolves,local article,Steamboat Pilot & Today,Routt County,Colorado,https://infoweb.newsbank.com/apps/news/openurl?ctx_ver=z39.88-2004&rft_id=info%3Asid/infoweb.newsbank.com&svc_dat=WORLDNEWS&req_dat=0E1ADD81C09838F5&rft_val_format=info%3Aofi/fmt%3Akev%3Amtx%3Actx&rft_dat=document_id%3Anews%252F178322A583AC1BF8,beavers,LP,02/14/23,,,Wildlife as resources,positive,,,Code for multiple species?,,,,,,
Opinion: Benefits of wolf reintroduction overshadow imaginary costs,local article,Steamboat Pilot & Today,Routt County,Colorado,https://infoweb.newsbank.com/apps/news/openurl?ctx_ver=z39.88-2004&rft_id=info%3Asid/infoweb.newsbank.com&svc_dat=WORLDNEWS&req_dat=0E1ADD81C09838F5&rft_val_format=info%3Aofi/fmt%3Akev%3Amtx%3Actx&rft_dat=document_id%3Anews%252F1782CE174F677F28,beavers,LP,02/14/23,,,Wildlife is increasing,positive,,,,,,,,,
New meadow soon to sprout on Beltline's Eastside Trail,local article ,Atlanta Journal-Constitution,Atlanta,Georgia,https://infoweb.newsbank.com/apps/news/openurl?ctx_ver=z39.88-2004&rft_id=info%3Asid/infoweb.newsbank.com&svc_dat=WORLDNEWS&req_dat=0E1ADD81C09838F5&rft_val_format=info%3Aofi/fmt%3Akev%3Amtx%3Actx&rft_dat=document_id%3Anews%252F1784E4848E26DD20,beavers,LP,02/14/23,,,Wildlife as resources,positive,,,,,,,,,
